"trial_name","trial_number","response","RT","question","picture","option1","option2","QUD","picture1","picture2","participant_ID","key_pressed","foil_Type","correctness","g","h","key1","key2","expected","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"key_press_first_one_comp_3","34","NA","2484","Is this a fractal?","images/Generated_Pictures/Penta_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_3","35","NA","4206","Is this a fractal?","images/Generated_Pictures/Tri_arrow_3.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_3","5","NA","5369","Is this a fractal?","images/Generated_Pictures/Penta_circle_3_false_3.png","NA","NA","","NA","NA","NA","g","NA","incorrect","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","1","NA","2956","Is this a fractal?","images/Generated_Pictures/Tri_arrow_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","2","NA","4280","Is this a fractal?","images/Generated_Pictures/Tri_triangle_4.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","3","NA","3066","Is this a fractal?","images/Generated_Pictures/Quad_square_4.png","NA","NA","","NA","NA","NA","g","NA","correct","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","4","NA","3687","Is this a fractal?","images/Generated_Pictures/Quad_triangle_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_two_comp_4","1","NA","2210","Is this a fractal?","images/Generated_Pictures/Quad_arrow_4_iteration_3.png","NA","NA","","NA","NA","NA","h","NA","correct","fractal","non-fractal","g","h","non-fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","5","NA","2997","Is this a fractal?","images/Generated_Pictures/Tri_square_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
"key_press_first_one_comp_4","6","NA","2105","Is this a fractal?","images/Generated_Pictures/Tri_square_4.png","NA","NA","","NA","NA","NA","h","NA","incorrect","fractal","non-fractal","g","h","fractal","Wed Mar 03 2021 19:19:05 GMT+0100 (Central European Standard Time)","1614795545555","24","female","Abitur / High School","German, Danish","","1614796450333","15.079633333333334","1",
